Zip Code,Median income (dollars)
ZCTA5 00601,14398
ZCTA5 00602,16771
ZCTA5 00603,15786
ZCTA5 00606,14980
ZCTA5 00610,20167
ZCTA5 00612,19402
ZCTA5 00616,18903
ZCTA5 00617,17702
ZCTA5 00622,15640
ZCTA5 00623,17699
ZCTA5 00624,17161
ZCTA5 00627,18571
ZCTA5 00631,11476
ZCTA5 00637,18430
ZCTA5 00638,17634
ZCTA5 00641,15402
ZCTA5 00646,29757
ZCTA5 00647,13996
ZCTA5 00650,19368
ZCTA5 00652,22771
ZCTA5 00653,10977
ZCTA5 00656,17865
ZCTA5 00659,18998
ZCTA5 00660,19848
ZCTA5 00662,17216
ZCTA5 00664,15740
ZCTA5 00667,14472
ZCTA5 00669,17199
ZCTA5 00670,14712
ZCTA5 00674,18790
ZCTA5 00676,16014
ZCTA5 00677,20027
ZCTA5 00678,17204
ZCTA5 00680,14825
ZCTA5 00682,14841
ZCTA5 00683,16441
ZCTA5 00685,15861
ZCTA5 00687,21191
ZCTA5 00688,17305
ZCTA5 00690,17246
ZCTA5 00692,21194
ZCTA5 00693,19970
ZCTA5 00698,14811
ZCTA5 00703,20188
ZCTA5 00704,16734
ZCTA5 00705,20271
ZCTA5 00707,20419
ZCTA5 00714,16263
ZCTA5 00715,13288
ZCTA5 00716,17616
ZCTA5 00717,11838
ZCTA5 00718,19220
ZCTA5 00719,18804
ZCTA5 00720,16072
ZCTA5 00723,17197
ZCTA5 00725,22847
ZCTA5 00727,30570
ZCTA5 00728,20131
ZCTA5 00729,22075
ZCTA5 00730,16036
ZCTA5 00731,15781
ZCTA5 00735,19097
ZCTA5 00736,22904
ZCTA5 00738,20808
ZCTA5 00739,20597
ZCTA5 00740,9611
ZCTA5 00741,21506
ZCTA5 00745,23975
ZCTA5 00751,17963
ZCTA5 00754,19408
ZCTA5 00757,20000
ZCTA5 00765,14049
ZCTA5 00766,19170
ZCTA5 00767,16828
ZCTA5 00769,18326
ZCTA5 00771,22097
ZCTA5 00772,14963
ZCTA5 00773,21805
ZCTA5 00775,24886
ZCTA5 00777,20718
ZCTA5 00778,35558
ZCTA5 00780,21724
ZCTA5 00782,14152
ZCTA5 00783,16815
ZCTA5 00784,17317
ZCTA5 00786,38798
ZCTA5 00791,21833
ZCTA5 00794,19024
ZCTA5 00795,20765
ZCTA5 00901,26204
ZCTA5 00906,109063
ZCTA5 00907,38798
ZCTA5 00909,21238
ZCTA5 00911,32290
ZCTA5 00912,27623
ZCTA5 00913,7428
ZCTA5 00915,13125
ZCTA5 00917,15904
ZCTA5 00918,29521
ZCTA5 00920,26153
ZCTA5 00921,19158
ZCTA5 00923,16052
ZCTA5 00924,19023
ZCTA5 00925,10928
ZCTA5 00926,35681
ZCTA5 00927,36994
ZCTA5 00949,27575
ZCTA5 00952,16196
ZCTA5 00953,27688
ZCTA5 00956,23859
ZCTA5 00957,27115
ZCTA5 00959,30307
ZCTA5 00961,29811
ZCTA5 00962,16053
ZCTA5 00965,14279
ZCTA5 00966,48174
ZCTA5 00968,49500
ZCTA5 00969,47489
ZCTA5 00971,24972
ZCTA5 00976,31729
ZCTA5 00979,33087
ZCTA5 00982,25360
ZCTA5 00983,26385
ZCTA5 00985,27560
ZCTA5 00987,32596
ZCTA5 01001,66088
ZCTA5 01002,60540
ZCTA5 01005,80060
ZCTA5 01007,94812
ZCTA5 01008,78988
ZCTA5 01009,72644
ZCTA5 01010,75577
ZCTA5 01011,71921
ZCTA5 01012,73750
ZCTA5 01013,46007
ZCTA5 01020,58909
ZCTA5 01022,43525
ZCTA5 01026,71000
ZCTA5 01027,66339
ZCTA5 01028,90579
ZCTA5 01029,92361
ZCTA5 01030,79713
ZCTA5 01031,45549
ZCTA5 01032,81875
ZCTA5 01033,101886
ZCTA5 01034,90625
ZCTA5 01035,86690
ZCTA5 01036,94393
ZCTA5 01037,83036
ZCTA5 01038,85449
ZCTA5 01039,94256
ZCTA5 01040,42537
ZCTA5 01050,73839
ZCTA5 01053,50357
ZCTA5 01054,93942
ZCTA5 01056,73516
ZCTA5 01057,77156
ZCTA5 01060,67356
ZCTA5 01062,76959
ZCTA5 01068,85326
ZCTA5 01069,66920
ZCTA5 01070,63750
ZCTA5 01071,81058
ZCTA5 01072,81042
ZCTA5 01073,104052
ZCTA5 01074,88775
ZCTA5 01075,73601
ZCTA5 01077,84896
ZCTA5 01079,32963
ZCTA5 01080,78576
ZCTA5 01081,74375
ZCTA5 01082,58131
ZCTA5 01083,78252
ZCTA5 01084,71875
ZCTA5 01085,74784
ZCTA5 01088,42111
ZCTA5 01089,54516
ZCTA5 01092,60396
ZCTA5 01093,97083
ZCTA5 01095,111487
ZCTA5 01096,81447
ZCTA5 01097,63750
ZCTA5 01098,81875
ZCTA5 01103,17736
ZCTA5 01104,40884
ZCTA5 01105,21875
ZCTA5 01106,123644
ZCTA5 01107,30457
ZCTA5 01108,41807
ZCTA5 01109,35000
ZCTA5 01118,70296
ZCTA5 01119,48324
ZCTA5 01128,67422
ZCTA5 01129,61769
ZCTA5 01151,44291
ZCTA5 01201,57160
ZCTA5 01220,47908
ZCTA5 01222,58668
ZCTA5 01223,66161
ZCTA5 01225,72119
ZCTA5 01226,73911
ZCTA5 01230,68690
ZCTA5 01235,67404
ZCTA5 01236,63696
ZCTA5 01237,76579
ZCTA5 01238,77455
ZCTA5 01240,72802
ZCTA5 01243,62708
ZCTA5 01244,50104
ZCTA5 01245,109063
ZCTA5 01247,52398
ZCTA5 01253,88487
ZCTA5 01254,96563
ZCTA5 01255,77000
ZCTA5 01256,47200
ZCTA5 01257,64375
ZCTA5 01258,74375
ZCTA5 01259,78625
ZCTA5 01260,107614
ZCTA5 01262,39286
ZCTA5 01264,68750
ZCTA5 01266,77500
ZCTA5 01267,91917
ZCTA5 01270,86912
ZCTA5 01301,46931
ZCTA5 01330,72609
ZCTA5 01331,61949
ZCTA5 01337,69853
ZCTA5 01338,64667
ZCTA5 01339,60438
ZCTA5 01340,60313
ZCTA5 01341,92500
ZCTA5 01342,103000
ZCTA5 01343,73125
ZCTA5 01344,63333
ZCTA5 01346,93400
ZCTA5 01349,75417
ZCTA5 01351,97054
ZCTA5 01354,68173
ZCTA5 01355,69038
ZCTA5 01360,75900
ZCTA5 01364,53949
ZCTA5 01366,71818
ZCTA5 01367,69375
ZCTA5 01368,86607
ZCTA5 01370,61711
ZCTA5 01373,82105
ZCTA5 01375,54524
ZCTA5 01376,41369
ZCTA5 01378,68839
ZCTA5 01379,62813
ZCTA5 01420,54683
ZCTA5 01430,113045
ZCTA5 01431,97269
ZCTA5 01432,99195
ZCTA5 01434,96500
ZCTA5 01436,70662
ZCTA5 01438,100579
ZCTA5 01440,51708
ZCTA5 01450,142500
ZCTA5 01451,177422
ZCTA5 01452,100255
ZCTA5 01453,63263
ZCTA5 01460,125275
ZCTA5 01462,99601
ZCTA5 01463,105377
ZCTA5 01464,89247
ZCTA5 01468,82173
ZCTA5 01469,97730
ZCTA5 01473,98555
ZCTA5 01474,94554
ZCTA5 01475,81582
ZCTA5 01501,83265
ZCTA5 01503,104432
ZCTA5 01504,90665
ZCTA5 01505,106100
ZCTA5 01506,70610
ZCTA5 01507,102531
ZCTA5 01510,75455
ZCTA5 01515,75347
ZCTA5 01516,117250
ZCTA5 01518,72713
ZCTA5 01519,114226
ZCTA5 01520,116107
ZCTA5 01521,77054
ZCTA5 01522,104040
ZCTA5 01523,97394
ZCTA5 01524,80649
ZCTA5 01525,52750
ZCTA5 01527,92556
ZCTA5 01529,79647
