"Facility ID","Measure ID","Value","Footnote","Start Date","End Date"
010001,MSPB-1,1.092708,,07/01/2020,12/31/2020
010005,MSPB-1,0.884121,,07/01/2020,12/31/2020
010006,MSPB-1,1.067392,,07/01/2020,12/31/2020
010007,MSPB-1,N/A,1,07/01/2020,12/31/2020
010008,MSPB-1,N/A,1,07/01/2020,12/31/2020
010011,MSPB-1,1.061354,,07/01/2020,12/31/2020
010012,MSPB-1,0.941446,,07/01/2020,12/31/2020
010016,MSPB-1,1.064540,,07/01/2020,12/31/2020
010018,MSPB-1,N/A,1,07/01/2020,12/31/2020
010019,MSPB-1,0.991456,,07/01/2020,12/31/2020
010021,MSPB-1,N/A,1,07/01/2020,12/31/2020
010022,MSPB-1,N/A,1,07/01/2020,12/31/2020
010023,MSPB-1,1.024649,,07/01/2020,12/31/2020
010024,MSPB-1,1.018332,,07/01/2020,12/31/2020
010029,MSPB-1,1.014760,,07/01/2020,12/31/2020
010033,MSPB-1,0.960980,,07/01/2020,12/31/2020
010034,MSPB-1,N/A,1,07/01/2020,12/31/2020
010035,MSPB-1,1.014885,,07/01/2020,12/31/2020
010036,MSPB-1,0.953548,,07/01/2020,12/31/2020
010038,MSPB-1,1.065389,,07/01/2020,12/31/2020
010039,MSPB-1,1.037821,,07/01/2020,12/31/2020
010040,MSPB-1,1.160750,,07/01/2020,12/31/2020
010044,MSPB-1,N/A,1,07/01/2020,12/31/2020
010045,MSPB-1,N/A,1,07/01/2020,12/31/2020
010046,MSPB-1,0.895972,,07/01/2020,12/31/2020
010049,MSPB-1,0.892324,,07/01/2020,12/31/2020
010051,MSPB-1,N/A,1,07/01/2020,12/31/2020
010052,MSPB-1,N/A,1,07/01/2020,12/31/2020
010055,MSPB-1,1.046096,,07/01/2020,12/31/2020
010056,MSPB-1,0.983134,,07/01/2020,12/31/2020
010058,MSPB-1,N/A,1,07/01/2020,12/31/2020
010059,MSPB-1,N/A,1,07/01/2020,12/31/2020
010061,MSPB-1,0.940072,,07/01/2020,12/31/2020
010062,MSPB-1,N/A,1,07/01/2020,12/31/2020
010065,MSPB-1,N/A,1,07/01/2020,12/31/2020
010069,MSPB-1,N/A,1,07/01/2020,12/31/2020
010073,MSPB-1,N/A,1,07/01/2020,12/31/2020
010078,MSPB-1,1.101874,,07/01/2020,12/31/2020
010079,MSPB-1,0.924728,,07/01/2020,12/31/2020
010083,MSPB-1,1.010551,,07/01/2020,12/31/2020
010085,MSPB-1,0.902631,,07/01/2020,12/31/2020
010086,MSPB-1,N/A,1,07/01/2020,12/31/2020
010087,MSPB-1,1.075358,,07/01/2020,12/31/2020
010089,MSPB-1,0.954186,,07/01/2020,12/31/2020
010090,MSPB-1,0.931929,,07/01/2020,12/31/2020
010092,MSPB-1,0.997927,,07/01/2020,12/31/2020
010095,MSPB-1,N/A,1,07/01/2020,12/31/2020
010097,MSPB-1,N/A,1,07/01/2020,12/31/2020
010099,MSPB-1,N/A,1,07/01/2020,12/31/2020
010100,MSPB-1,1.000321,,07/01/2020,12/31/2020
010101,MSPB-1,N/A,1,07/01/2020,12/31/2020
010102,MSPB-1,N/A,1,07/01/2020,12/31/2020
010103,MSPB-1,0.987540,,07/01/2020,12/31/2020
010104,MSPB-1,0.971144,,07/01/2020,12/31/2020
010108,MSPB-1,N/A,1,07/01/2020,12/31/2020
010110,MSPB-1,N/A,1,07/01/2020,12/31/2020
010112,MSPB-1,N/A,1,07/01/2020,12/31/2020
010113,MSPB-1,0.979885,,07/01/2020,12/31/2020
010114,MSPB-1,0.983872,,07/01/2020,12/31/2020
010118,MSPB-1,1.028173,,07/01/2020,12/31/2020
010120,MSPB-1,N/A,1,07/01/2020,12/31/2020
010125,MSPB-1,N/A,1,07/01/2020,12/31/2020
010126,MSPB-1,N/A,1,07/01/2020,12/31/2020
010128,MSPB-1,N/A,1,07/01/2020,12/31/2020
010129,MSPB-1,N/A,1,07/01/2020,12/31/2020
010130,MSPB-1,N/A,1,07/01/2020,12/31/2020
010131,MSPB-1,0.948387,,07/01/2020,12/31/2020
010138,MSPB-1,N/A,1,07/01/2020,12/31/2020
010139,MSPB-1,N/A,1,07/01/2020,12/31/2020
010144,MSPB-1,0.959792,,07/01/2020,12/31/2020
010148,MSPB-1,N/A,1,07/01/2020,12/31/2020
010149,MSPB-1,0.994613,,07/01/2020,12/31/2020
010150,MSPB-1,0.986475,,07/01/2020,12/31/2020
010157,MSPB-1,N/A,1,07/01/2020,12/31/2020
010158,MSPB-1,N/A,1,07/01/2020,12/31/2020
010164,MSPB-1,N/A,1,07/01/2020,12/31/2020
010168,MSPB-1,0.860374,,07/01/2020,12/31/2020
010169,MSPB-1,N/A,1,07/01/2020,12/31/2020
010173,MSPB-1,N/A,1,07/01/2020,12/31/2020
010174,MSPB-1,N/A,1,07/01/2020,12/31/2020
010175,MSPB-1,N/A,1,07/01/2020,12/31/2020
020001,MSPB-1,0.911262,,07/01/2020,12/31/2020
020006,MSPB-1,0.931051,,07/01/2020,12/31/2020
020008,MSPB-1,0.920473,,07/01/2020,12/31/2020
020012,MSPB-1,0.838695,,07/01/2020,12/31/2020
020017,MSPB-1,0.905869,,07/01/2020,12/31/2020
020018,MSPB-1,N/A,1,07/01/2020,12/31/2020
020024,MSPB-1,0.823180,,07/01/2020,12/31/2020
020026,MSPB-1,0.882449,,07/01/2020,12/31/2020
030002,MSPB-1,1.011988,,07/01/2020,12/31/2020
030006,MSPB-1,1.026283,,07/01/2020,12/31/2020
030007,MSPB-1,0.927662,,07/01/2020,12/31/2020
030010,MSPB-1,1.026836,,07/01/2020,12/31/2020
030011,MSPB-1,0.994629,,07/01/2020,12/31/2020
030012,MSPB-1,0.969779,,07/01/2020,12/31/2020
030013,MSPB-1,0.942211,,07/01/2020,12/31/2020
030014,MSPB-1,1.028983,,07/01/2020,12/31/2020
030016,MSPB-1,0.975902,,07/01/2020,12/31/2020
030022,MSPB-1,1.048030,,07/01/2020,12/31/2020
030023,MSPB-1,1.046441,,07/01/2020,12/31/2020
030024,MSPB-1,1.019635,,07/01/2020,12/31/2020
030030,MSPB-1,0.993590,,07/01/2020,12/31/2020
030036,MSPB-1,1.058997,,07/01/2020,12/31/2020
030037,MSPB-1,N/A,1,07/01/2020,12/31/2020
030038,MSPB-1,1.060738,,07/01/2020,12/31/2020
030043,MSPB-1,0.932432,,07/01/2020,12/31/2020
030055,MSPB-1,0.914129,,07/01/2020,12/31/2020
030061,MSPB-1,0.978214,,07/01/2020,12/31/2020
030062,MSPB-1,0.927427,,07/01/2020,12/31/2020
030064,MSPB-1,0.975835,,07/01/2020,12/31/2020
030065,MSPB-1,1.116763,,07/01/2020,12/31/2020
030068,MSPB-1,N/A,1,07/01/2020,12/31/2020
030069,MSPB-1,0.971578,,07/01/2020,12/31/2020
030071,MSPB-1,0.798549,,07/01/2020,12/31/2020
